ActivityId,AdvertisedTrainIdent,AdvertisedTimeAtLocation,EstimatedTimeAtLocation,TimeAtLocation,DelayMinutes,DelayStatus,IsCanceled,IsReplaced,DeviationDescription,FromLocation,TrackAtLocation,ProductDescription,OperationalTrainNumber,LastUpdated,DataFreshness
1500adde-8c5d-35ca-08de-0f69b968ee38,3665,2025-11-04T17:25:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,9,Västtågen,3665,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ad1e5ad6,3118,2025-11-04T17:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,16,Västtågen,3118,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b3752145,3465,2025-11-04T17:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Sk,2,Västtågen,3465,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69afdc9522,3263,2025-11-04T17:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vg,10,Västtågen,3263,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6947eadc58,13615,2025-11-04T17:35:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,7,Västtågen,13615,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69cd632940,7368,2025-11-04T17:35:00.000+01:00,,,,NO_ESTIMATE,False,False,,Bsc,11,Västtågen,7368,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c14f0584,435,2025-11-04T17:40:00.000+01:00,,,,NO_ESTIMATE,False,False,,Cst,9,SJ Snabbtåg,20460,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c15d53aa,437,2025-11-04T17:40:00.000+01:00,,,,NO_ESTIMATE,False,False,,Cst,3,SJ Snabbtåg,437,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c025d2c3,391,2025-11-04T17:40:00.000+01:00,,,,NO_ESTIMATE,False,False,,No.osl,6,Vy Snabbtåg,391,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ab63cb2e,3068,2025-11-04T17:45:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,15,Västtågen,3068,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f694939cd2d,13793,2025-11-04T17:45:00.000+01:00,,,,NO_ESTIMATE,False,False,,Uv,4,Västtågen,13793,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f696f0d4b29,20176,2025-11-04T17:50:00.000+01:00,,,,NO_ESTIMATE,False,False,,Hd,14,Öresundståg,20176,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bc20871b,3765,2025-11-04T17:50:00.000+01:00,,,,NO_ESTIMATE,False,False,,Snu,7,Västtågen,3765,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b9799eb4,3667,2025-11-04T17:55:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,3667,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69c7480075,63565,2025-11-04T17:57:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22R,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69aff498c5,3265,2025-11-04T18:00:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vg,8,Västtågen,3265,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ad31939e,3120,2025-11-04T18:00:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,13,Västtågen,3120,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bcff3bd2,3797,2025-11-04T18:05:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kde,11,Västtågen,13797,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69cd2f7638,73563,2025-11-04T18:07:00.000+01:00,,,,NO_ESTIMATE,False,True,Buss 22S,Lr,x,Västtågen,,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6947fd3ef6,13617,2025-11-04T18:10:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,13617,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ab76de19,3070,2025-11-04T18:15:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,16,Västtågen,3070,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69bc46ad02,3767,2025-11-04T18:20:00.000+01:00,,,,NO_ESTIMATE,False,False,,Uv,12,Västtågen,3767,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6930fd8623,1082,2025-11-04T18:20:00.000+01:00,,,,NO_ESTIMATE,False,False,,Dk.kh,14,Öresundståg,11082,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b9883f5d,3669,2025-11-04T18:25:00.000+01:00,,,,NO_ESTIMATE,False,False,,Än,10,Västtågen,3669,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b638a539,3567,2025-11-04T18:25:00.000+01:00,,,,NO_ESTIMATE,False,False,,A,1,Västtågen,3567,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69b007abd1,3267,2025-11-04T18:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vg,11,Västtågen,3267,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f69ad44e8fe,3122,2025-11-04T18:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Kb,13,Västtågen,3122,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f695d57cc32,175,2025-11-04T18:30:00.000+01:00,,,,NO_ESTIMATE,False,False,,Cst,3,SJ Regional,175,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f6939b00f9c,12037,2025-11-04T18:35:00.000+01:00,,,,NO_ESTIMATE,False,False,,Cst,5,VR Snabbtåg,12037,2025-11-04T12:36:22.167338,SCHEDULED
1500adde-8c5d-35ca-08de-0f696edd9b42,20172,2025-11-04T18:35:00.000+01:00,,,,NO_ESTIMATE,False,False,,Vbc,16,Öresundståg,20172,2025-11-04T12:36:22.167338,SCHEDULED
