id,page,track,sub,x0,x1,y,arrival_train,departure_train,arrival_time,departure_time,vehicle_count,bar_color,continues_from_prev,continues_to_next,stitched_from
352,7,11,1,668.9,64.2,344.8,13782,13782,21:00,21:07,2,"1.000,0.600,0.800",False,False,474
353,7,11,2,137.4,210.8,353.9,3122,,18:30,18:49,1,"0.733,0.710,0.616",False,False,
354,7,12,2,181.4,320.9,381.1,439,499,18:42,19:19,1,"0.000,1.000,1.000",False,False,
355,7,12,2,448.9,577.2,381.1,344,,19:58,20:33,1,"0.000,1.000,1.000",False,False,
356,7,12,2,632.3,82.7,381.1,3080,3085,20:51,21:11,1,"0.733,0.710,0.616",False,False,477
357,7,13,2,247.4,302.4,408.0,3124,,19:01,19:15,1,"0.733,0.710,0.616",False,False,
358,7,13,2,448.9,503.9,408.0,,13181,19:57,20:11,1,"0.733,0.710,0.616",False,False,
359,7,13,2,522.2,632.4,408.0,3078,3083,20:19,20:48,1,"0.733,0.710,0.616",False,False,
360,7,14,1,45.8,119.4,426.2,11082,20179,18:04,18:21,2,"0.800,1.000,0.800",False,False,
361,7,14,1,155.9,229.3,426.2,20178,11143,18:35,18:53,2,"0.800,1.000,0.800",False,False,
362,7,14,1,265.6,320.9,426.2,11090,,19:07,19:20,1,"0.800,1.000,0.800",False,False,
363,7,14,1,394.1,449.0,426.2,20180,11151,19:42,19:56,2,"0.800,1.000,0.800",False,False,
364,7,14,1,485.6,540.6,426.2,11098,,20:09,20:23,1,"0.800,1.000,0.800",False,False,
365,7,14,2,265.6,339.1,435.1,11090,20181,19:07,19:24,1,"0.800,1.000,0.800",False,False,
366,7,14,2,485.6,669.0,435.1,11098,11159,20:09,20:58,1,"0.800,1.000,0.800",False,False,
367,7,15,2,210.7,265.7,462.3,13172,,18:51,19:05,1,"0.733,0.710,0.616",False,False,
368,7,15,3,155.9,302.4,471.5,,3077,18:33,19:14,1,"0.733,0.710,0.616",False,False,
369,7,15,3,357.4,412.4,471.5,,3079,19:31,19:45,1,"0.733,0.710,0.616",False,False,
370,7,16,2,82.6,137.5,498.7,3070,3125,18:14,18:27,2,"0.733,0.710,0.616",False,False,
